gene_name,l2fc_protein_starvedtorich,condition,cellline,RNA_pvalue,l2fc_RNA_starvedtorich,l2fc_protein_per_RNA,,,,,
COG3,-0.858209905,Arg,GCN2KO,NA,NA,NA,,,,,
COG4,-3.912460824,Arg,GCN2KO,NA,NA,NA,,,,,
COG7,-0.417866718,Arg,GCN2KO,NA,NA,NA,,,,,
COIL,-1.681536185,Arg,GCN2KO,0.01972757,0.373943209,-2.055479394,,,,,
COMMD1,-0.80611357,Arg,GCN2KO,0.222631802,0.274562716,-1.080676286,,,,,
COMMD4,-1.927278158,Arg,GCN2KO,1.15E-30,-3.207668933,1.280390775,,,,,
COMMD9,-1.446962912,Arg,GCN2KO,0.767876468,0.256713848,-1.703676761,,,,,
COMT,-0.358879212,Arg,GCN2KO,0.201958245,-0.400740714,0.041861502,,,,,
COPA,-0.942976455,Arg,GCN2KO,0.759969902,0.114699449,-1.057675904,,,,,
COPB1,-1.054510318,Arg,GCN2KO,2.73E-05,0.827946298,-1.882456616,,,,,
COPB2,-0.97234017,Arg,GCN2KO,0.044999722,-0.313871358,-0.658468812,,,,,
ARCN1,-0.981936727,Arg,GCN2KO,0.21023703,0.639516801,-1.621453529,,,,,
COPE,-0.759054773,Arg,GCN2KO,0.463135559,0.385343226,-1.144397998,,,,,
COPG1,-0.960406035,Arg,GCN2KO,0.001333837,-0.963360572,0.002954537,,,,,
COPG2,-1.34394948,Arg,GCN2KO,0.854590519,0.105819144,-1.449768624,,,,,
COPZ1,-0.69576741,Arg,GCN2KO,0.393742881,-0.148569072,-0.547198338,,,,,
COQ3,1.081013123,Arg,GCN2KO,4.26E-13,-1.251168,2.332181123,,,,,
COQ5,NA,Arg,GCN2KO,NA,NA,NA,,,,,
COQ7,-0.079701397,Arg,GCN2KO,0.005064849,-1.75984888,1.680147483,,,,,
COQ8A,-2.630954858,Arg,GCN2KO,NA,NA,NA,,,,,
CORO1B,-1.66352465,Arg,GCN2KO,NA,NA,NA,,,,,
CORO1C,-0.963616558,Arg,GCN2KO,0.534943437,-0.524834738,-0.438781819,,,,,
CORO7,-1.880910521,Arg,GCN2KO,NA,NA,NA,,,,,
COTL1,-0.00516679,Arg,GCN2KO,NA,NA,NA,,,,,
COX1,-1.171125587,Arg,GCN2KO,NA,NA,NA,,,,,
COX11,-0.966828217,Arg,GCN2KO,0.163421064,-0.593864649,-0.372963569,,,,,
COX17,0.104947205,Arg,GCN2KO,0.037452127,-0.272645537,0.377592742,,,,,
COX20,-0.771379077,Arg,GCN2KO,5.91E-10,-0.961767235,0.190388159,,,,,
COX4I1,-1.151639492,Arg,GCN2KO,0.048509687,-0.334329879,-0.817309613,,,,,
COX5A,-1.02293974,Arg,GCN2KO,0.596594564,-0.107560648,-0.915379092,,,,,
COX5B,-0.754589062,Arg,GCN2KO,0.00867017,0.386905241,-1.141494304,,,,,
COX6C,-1.113567588,Arg,GCN2KO,0.007356099,0.373522424,-1.487090012,,,,,
COX7A2L,-1.38269386,Arg,GCN2KO,4.56E-13,-2.766511449,1.383817589,,,,,
VPS35L,-0.35596974,Arg,GCN2KO,NA,NA,NA,,,,,
CEP131,-2.289771205,Arg,GCN2KO,NA,NA,NA,,,,,
CYP20A1,-0.548316643,Arg,GCN2KO,0.034250806,0.418635237,-0.96695188,,,,,
CYP51A1,-5.780644732,Arg,GCN2KO,6.74E-05,-1.471643279,-4.309001453,,,,,
CIAPIN1,-0.84619522,Arg,GCN2KO,0.626051702,-0.284926795,-0.561268425,,,,,
CPNE1,-1.015174195,Arg,GCN2KO,1.51E-07,-1.880807512,0.865633317,,,,,
CPNE3,-1.31833138,Arg,GCN2KO,0.031727821,-0.392418997,-0.925912383,,,,,
CPNE8,-1.890492925,Arg,GCN2KO,0.101440451,0.678648548,-2.569141473,,,,,
CAPNS1,0.50497498,Arg,GCN2KO,NA,NA,NA,,,,,
CPPED1,-0.413352775,Arg,GCN2KO,0.485282353,0.479133647,-0.892486422,,,,,
CPSF1,-1.765200016,Arg,GCN2KO,0.002905622,-1.80689488,0.041694864,,,,,
CPSF2,-2.4182768,Arg,GCN2KO,0.0616005,0.466503019,-2.884779819,,,,,
CPSF3,-1.307540405,Arg,GCN2KO,3.24E-04,0.547945219,-1.855485624,,,,,
CPSF4,-0.128779793,Arg,GCN2KO,NA,NA,NA,,,,,
NUDT21,-0.96078634,Arg,GCN2KO,4.26E-10,-1.870086044,0.909299704,,,,,
CPSF6,-0.766781585,Arg,GCN2KO,0.001756916,-2.617303196,1.850521611,,,,,
CPSF7,-0.568014395,Arg,GCN2KO,NA,NA,NA,,,,,
CPT2,-0.94966697,Arg,GCN2KO,NA,NA,NA,,,,,
CPVL,-1.100987828,Arg,GCN2KO,0.505051586,0.129065254,-1.230053081,,,,,
C18orf21,-1.387727857,Arg,GCN2KO,5.45E-04,0.877058838,-2.264786695,,,,,
C18orf25,0.71762196,Arg,GCN2KO,NA,NA,NA,,,,,
CREB1,-0.648495705,Arg,GCN2KO,0.021786792,1.004050503,-1.652546208,,,,,
CRELD2,-0.488097873,Arg,GCN2KO,0.070209729,-1.369706074,0.8816082,,,,,
CRIPT,-2.109909168,Arg,GCN2KO,0.972943262,0.006866923,-2.116776091,,,,,
CRK,-0.42339442,Arg,GCN2KO,NA,NA,NA,,,,,
CRKL,-1.135803355,Arg,GCN2KO,NA,NA,NA,,,,,
CRLF3,-0.742770411,Arg,GCN2KO,0.986061793,0.015063986,-0.757834397,,,,,
CRNKL1,-2.607876283,Arg,GCN2KO,0.413846177,-0.251356663,-2.35651962,,,,,
CRTAP,-1.789721232,Arg,GCN2KO,NA,NA,NA,,,,,
CRTC2,-0.267051547,Arg,GCN2KO,NA,NA,NA,,,,,
CSDE1,-1.866033148,Arg,GCN2KO,3.76E-06,-0.509126717,-1.356906431,,,,,
CSK,-1.1500151,Arg,GCN2KO,NA,NA,NA,,,,,
CSNK2A1,-1.002250402,Arg,GCN2KO,9.25E-04,-0.934011231,-0.068239172,,,,,
CSNK2A2,-0.094201897,Arg,GCN2KO,NA,NA,NA,,,,,
CSNK2B,-2.23448944,Arg,GCN2KO,0.835878043,-0.039368695,-2.195120746,,,,,
GPS1,-1.61686346,Arg,GCN2KO,NA,NA,NA,,,,,
COPS2,-0.764745508,Arg,GCN2KO,0.774696308,-0.138019451,-0.626726057,,,,,
COPS3,-0.99352891,Arg,GCN2KO,0.017231283,0.367651585,-1.361180495,,,,,
COPS4,-0.850835532,Arg,GCN2KO,0.030218141,0.414420787,-1.265256319,,,,,
COPS5,-1.023531105,Arg,GCN2KO,0.024716608,0.389353489,-1.412884594,,,,,
COPS6,-0.826448542,Arg,GCN2KO,1.62E-04,-0.81856142,-0.007887122,,,,,
COPS7A,-0.940362085,Arg,GCN2KO,NA,NA,NA,,,,,
COPS7B,-0.628009658,Arg,GCN2KO,NA,NA,NA,,,,,
COPS8,-0.889507135,Arg,GCN2KO,1.12E-11,-1.37633457,0.486827435,,,,,
CSRP2,-2.248851995,Arg,GCN2KO,1.14E-09,0.876111872,-3.124963867,,,,,
CSTF1,-0.557668622,Arg,GCN2KO,0.005750772,-1.127191548,0.569522925,,,,,
CSTF2,-1.118026445,Arg,GCN2KO,0.367410468,0.210774294,-1.328800739,,,,,
CSTF3,-1.308737835,Arg,GCN2KO,0.025043447,0.64959612,-1.958333955,,,,,
CSTF2T,0.284164848,Arg,GCN2KO,0.698175567,0.157423748,0.1267411,,,,,
C20orf27,-0.548675898,Arg,GCN2KO,NA,NA,NA,,,,,
CTTNBP2NL,-0.541955515,Arg,GCN2KO,0.01954837,-0.813163892,0.271208377,,,,,
CTNNBL1,-0.531630573,Arg,GCN2KO,9.52E-11,1.219903754,-1.751534326,,,,,
CTBP1,-0.579404715,Arg,GCN2KO,NA,NA,NA,,,,,
CTBP2,-0.972187195,Arg,GCN2KO,NA,NA,NA,,,,,
CTCF,-1.900203882,Arg,GCN2KO,0.610013866,0.162892051,-2.063095933,,,,,
MIA2,-3.426599238,Arg,GCN2KO,NA,NA,NA,,,,,
CTNNA1,-2.58933146,Arg,GCN2KO,0.222596638,0.261102569,-2.850434029,,,,,
CTNNB1,-1.327790815,Arg,GCN2KO,NA,NA,NA,,,,,
CTNND1,-2.402622087,Arg,GCN2KO,0.405141207,0.70494158,-3.107563668,,,,,
CTNNAL1,-0.124018821,Arg,GCN2KO,0.310266282,-0.172987586,0.048968766,,,,,
CTR9,-2.54159238,Arg,GCN2KO,0.067343893,-0.559144524,-1.982447856,,,,,
CIT,-8.70611949,Arg,GCN2KO,0.511065754,-0.756620323,-7.949499168,,,,,
CTDSPL2,-1.705784351,Arg,GCN2KO,9.95E-10,1.672866589,-3.378650939,,,,,
CFAP298,-4.854060207,Arg,GCN2KO,NA,NA,NA,,,,,
CUEDC2,0.422994772,Arg,GCN2KO,0.009584752,-0.812566267,1.235561039,,,,,
CUL1,-1.964434188,Arg,GCN2KO,0.888740383,0.075804604,-2.040238791,,,,,
CUL2,-0.7341782,Arg,GCN2KO,0.002797841,1.581178381,-2.315356581,,,,,
CUL3,-1.106268415,Arg,GCN2KO,NA,NA,NA,,,,,
CUL4A,-1.64679181,Arg,GCN2KO,NA,NA,NA,,,,,
CUL4B,-1.192233398,Arg,GCN2KO,0.197839523,-0.350974199,-0.841259198,,,,,
CUL5,-0.809106897,Arg,GCN2KO,0.009530549,0.718724087,-1.527830985,,,,,
CUTA,0.62890594,Arg,GCN2KO,3.01E-58,-2.36411725,2.99302319,,,,,
CWC15,-0.70983949,Arg,GCN2KO,3.87E-24,-1.129754507,0.419915017,,,,,
CWC22,-1.5693522,Arg,GCN2KO,4.93E-05,-0.769937325,-0.799414875,,,,,
CWC27,-1.34618333,Arg,GCN2KO,0.594619921,-0.079677296,-1.266506034,,,,,
STEEP1,-1.551981015,Arg,GCN2KO,NA,NA,NA,,,,,
COX7A2,-0.676864315,Arg,GCN2KO,3.06E-10,0.90154533,-1.578409645,,,,,
CXADR,-0.934813043,Arg,GCN2KO,0.993450411,0.005071135,-0.939884177,,,,,
CYC1,-0.786225285,Arg,GCN2KO,0.014856634,-0.674435085,-0.1117902,,,,,
CYB5B,-0.161773428,Arg,GCN2KO,NA,NA,NA,,,,,
CACYBP,-1.15446865,Arg,GCN2KO,3.74E-26,-1.145987918,-0.008480732,,,,,
CYFIP1,-0.515894462,Arg,GCN2KO,0.077214204,-1.832042495,1.316148032,,,,,
CYFIP2,-1.791534912,Arg,GCN2KO,0.696024528,0.217902373,-2.009437285,,,,,
CSTA,-10.15425264,Arg,GCN2KO,NA,NA,NA,,,,,
CSTB,-0.849513688,Arg,GCN2KO,0.023513604,-0.491836702,-0.357676985,,,,,
SPECC1L,-0.835336995,Arg,GCN2KO,2.05E-04,0.939895552,-1.775232547,,,,,
DPY19L1,-1.992252762,Arg,GCN2KO,NA,NA,NA,,,,,
DNAAF5,-2.180944427,Arg,GCN2KO,NA,NA,NA,,,,,
DAAM1,-0.444218295,Arg,GCN2KO,0.004843585,0.942971502,-1.387189797,,,,,
DACH1,-2.74328227,Arg,GCN2KO,0.595530528,0.285363857,-3.028646127,,,,,
DAZAP1,-0.784878495,Arg,GCN2KO,NA,NA,NA,,,,,
DIABLO,-0.499096748,Arg,GCN2KO,NA,NA,NA,,,,,
DBNL,-0.954924195,Arg,GCN2KO,NA,NA,NA,,,,,
DBR1,-0.33598031,Arg,GCN2KO,NA,NA,NA,,,,,
DYNC1I2,-2.538903163,Arg,GCN2KO,0.513468307,-0.210343476,-2.328559686,,,,,
DYNC1LI1,-0.650978712,Arg,GCN2KO,0.001552389,0.621155568,-1.27213428,,,,,
DYNC1LI2,-0.510683117,Arg,GCN2KO,0.009678677,0.860146768,-1.370829885,,,,,
DCAF13,-0.959414,Arg,GCN2KO,NA,NA,NA,,,,,
DCAF16,-1.671319137,Arg,GCN2KO,NA,NA,NA,,,,,
DCAF1,-2.200254675,Arg,GCN2KO,NA,NA,NA,,,,,
DCAF7,-0.91844542,Arg,GCN2KO,1.09E-04,1.172831131,-2.091276551,,,,,
DCAF8,-4.758690282,Arg,GCN2KO,NA,NA,NA,,,,,
DCAKD,-0.432287372,Arg,GCN2KO,NA,NA,NA,,,,,
DCD,-0.87516766,Arg,GCN2KO,NA,NA,NA,,,,,
DCK,-0.41656507,Arg,GCN2KO,NA,NA,NA,,,,,
DCUN1D1,-0.780410028,Arg,GCN2KO,0.990992569,-0.009864888,-0.770545139,,,,,
DCUN1D5,-0.715817673,Arg,GCN2KO,0.210181965,-0.31965299,-0.396164682,,,,,
DCP1A,-0.355800048,Arg,GCN2KO,NA,NA,NA,,,,,
DCPS,-2.94816577,Arg,GCN2KO,9.84E-05,-1.551542071,-1.396623699,,,,,
DCTN1,-0.851543995,Arg,GCN2KO,0.073977836,-0.941824227,0.090280232,,,,,
DCTN2,-0.882585882,Arg,GCN2KO,0.055920703,1.168667692,-2.051253575,,,,,
DCTN3,-0.929770478,Arg,GCN2KO,2.41E-09,-1.58288392,0.653113443,,,,,
DCTN4,-3.889092565,Arg,GCN2KO,NA,NA,NA,,,,,
DCTN5,-1.102310617,Arg,GCN2KO,NA,NA,NA,,,,,
UROD,-1.672680635,Arg,GCN2KO,1.22E-20,-1.655424555,-0.01725608,,,,,
DCXR,-0.500631845,Arg,GCN2KO,2.77E-26,-2.95277132,2.452139475,,,,,
DDX19A,-1.34498849,Arg,GCN2KO,0.058266195,0.574531598,-1.919520088,,,,,
DDX19B,-0.878883082,Arg,GCN2KO,0.115601922,0.503154985,-1.382038068,,,,,
DDAH1,0.090091542,Arg,GCN2KO,NA,NA,NA,,,,,
DDB1,-1.254230907,Arg,GCN2KO,0.603440692,-0.27317838,-0.981052528,,,,,
DDI2,-0.462452993,Arg,GCN2KO,NA,NA,NA,,,,,
DDX1,-1.022967405,Arg,GCN2KO,3.52E-21,-1.270099258,0.247131853,,,,,
DDX10,-2.49592113,Arg,GCN2KO,0.415487051,0.176447618,-2.672368748,,,,,
DDX17,-0.68518437,Arg,GCN2KO,0.034306184,-0.838641562,0.153457192,,,,,
DDX18,-2.039994328,Arg,GCN2KO,0.893236215,0.020154684,-2.060149012,,,,,
DDX20,-2.563540915,Arg,GCN2KO,0.456296448,-0.348219971,-2.215320944,,,,,
DDX21,-0.816861112,Arg,GCN2KO,1.67E-15,1.263950021,-2.080811134,,,,,
DDX23,-1.4796864,Arg,GCN2KO,0.007461442,-2.012522326,0.532835926,,,,,
DDX24,-1.714344,Arg,GCN2KO,1.45E-09,-0.616245775,-1.098098225,,,,,
DDX27,-0.7549507,Arg,GCN2KO,0.320876456,0.133258913,-0.888209613,,,,,
DDX31,-0.652119513,Arg,GCN2KO,NA,NA,NA,,,,,
DDX3X,-1.50329671,Arg,GCN2KO,0.016440122,0.838570863,-2.341867573,,,,,
DDX41,-0.214580415,Arg,GCN2KO,5.75E-08,-2.124192436,1.909612021,,,,,
DDX42,-1.711228327,Arg,GCN2KO,0.021738867,-1.537317418,-0.173910909,,,,,
DDX46,-1.65954396,Arg,GCN2KO,0.037051586,0.461648126,-2.121192086,,,,,
DDX47,-1.651556915,Arg,GCN2KO,0.028754695,0.604517846,-2.256074761,,,,,
DDX49,-0.91899828,Arg,GCN2KO,1.66E-04,-2.154094809,1.235096529,,,,,
DDX5,-2.01813723,Arg,GCN2KO,4.80E-08,-0.577856922,-1.440280308,,,,,
DDX50,-3.967072145,Arg,GCN2KO,7.71E-09,0.937984604,-4.905056749,,,,,
DDX51,-1.377697002,Arg,GCN2KO,NA,NA,NA,,,,,
DDX52,-1.232594135,Arg,GCN2KO,0.568452369,-0.096562429,-1.136031706,,,,,
DDX54,-1.194582115,Arg,GCN2KO,NA,NA,NA,,,,,
DDX55,-1.55179805,Arg,GCN2KO,0.555412103,0.145178719,-1.696976769,,,,,
DDX56,-0.423287632,Arg,GCN2KO,0.040555268,-0.711577434,0.288289802,,,,,
DDX6,-1.476837903,Arg,GCN2KO,0.043959017,0.752667758,-2.229505661,,,,,
DECR1,-0.963281215,Arg,GCN2KO,0.007672179,0.461931454,-1.425212669,,,,,
DEGS1,-1.506082742,Arg,GCN2KO,NA,NA,NA,,,,,
DEK,-0.77296766,Arg,GCN2KO,9.63E-10,1.177705037,-1.950672697,,,,,
DENND3,NA,Arg,GCN2KO,NA,NA,NA,,,,,
DENR,-0.558127438,Arg,GCN2KO,0.741950986,-0.073779005,-0.484348433,,,,,
DESI1,-2.253370212,Arg,GCN2KO,0.001455563,-2.665914594,0.412544381,,,,,
DESI2,-1.222251193,Arg,GCN2KO,0.601545562,-0.263912303,-0.95833889,,,,,
DES,-0.892791003,Arg,GCN2KO,0.56065054,0.454588395,-1.347379398,,,,,
DSP,-6.057739165,Arg,GCN2KO,0.322858382,0.367928811,-6.425667976,,,,,
DSTN,-1.212424223,Arg,GCN2KO,0.90104918,-0.030894863,-1.18152936,,,,,
DFFA,-1.791477395,Arg,GCN2KO,0.090601257,-0.530857316,-1.260620079,,,,,
HSD17B11,-0.1664873,Arg,GCN2KO,0.073274106,0.78852241,-0.95500971,,,,,
HSD17B12,-1.507822988,Arg,GCN2KO,NA,NA,NA,,,,,
HSD17B4,-1.324297817,Arg,GCN2KO,0.01595202,-0.536210254,-0.788087563,,,,,
HSD17B7,-1.200479825,Arg,GCN2KO,0.030863191,0.874243207,-2.074723032,,,,,
DHCR24,-1.36526077,Arg,GCN2KO,NA,NA,NA,,,,,
DHCR7,-1.078105143,Arg,GCN2KO,NA,NA,NA,,,,,
GLUD1,-0.822156333,Arg,GCN2KO,NA,NA,NA,,,,,
QDPR,1.04334528,Arg,GCN2KO,NA,NA,NA,,,,,
DHRS7,-0.677591755,Arg,GCN2KO,4.10E-09,1.15794899,-1.835540745,,,,,
SDHD,-0.730562407,Arg,GCN2KO,0.10743617,0.918308359,-1.648870766,,,,,
SORD,-0.92100223,Arg,GCN2KO,NA,NA,NA,,,,,
DHTKD1,-0.75236881,Arg,GCN2KO,NA,NA,NA,,,,,
DHX15,-1.059841255,Arg,GCN2KO,1.28E-05,1.048154467,-2.107995722,,,,,
DHX16,-1.442596351,Arg,GCN2KO,0.176904214,0.395293364,-1.837889715,,,,,
DHX29,-2.23944118,Arg,GCN2KO,0.00392097,-0.527535629,-1.711905551,,,,,
DHX30,-2.683998617,Arg,GCN2KO,0.006575949,-0.836459234,-1.847539384,,,,,
DHX33,-1.4449952,Arg,GCN2KO,NA,NA,NA,,,,,
DHX36,-2.603872512,Arg,GCN2KO,0.46117669,0.320223294,-2.924095807,,,,,
DHX37,-2.067524495,Arg,GCN2KO,NA,NA,NA,,,,,
DHX40,-4.916723776,Arg,GCN2KO,0.834672063,-0.095690969,-4.821032807,,,,,
DHX57,-1.578724832,Arg,GCN2KO,NA,NA,NA,,,,,
DHX8,-5.821928011,Arg,GCN2KO,0.041345059,0.487036767,-6.308964778,,,,,
DHX9,-1.50735295,Arg,GCN2KO,0.043288873,-0.544241173,-0.963111777,,,,,
DHPS,-2.017133266,Arg,GCN2KO,1.18E-14,-2.479115251,0.461981986,,,,,
DIAPH1,-0.596401295,Arg,GCN2KO,0.670626882,0.294587204,-0.890988499,,,,,
DIAPH3,-4.112707548,Arg,GCN2KO,3.05E-04,1.259739636,-5.372447184,,,,,
SLC25A10,-1.056438043,Arg,GCN2KO,0.399054209,-4.875189571,3.818751529,,,,,
DIDO1,-1.888988607,Arg,GCN2KO,0.41156722,0.705634166,-2.594622774,,,,,
UTP25,-1.516238208,Arg,GCN2KO,NA,NA,NA,,,,,
DIMT1,-0.269121798,Arg,GCN2KO,0.960709535,0.028405854,-0.297527652,,,,,
DIP2B,-0.936473037,Arg,GCN2KO,NA,NA,NA,,,,,
DNAJB11,-0.81642066,Arg,GCN2KO,1.27E-05,-1.077982657,0.261561997,,,,,
DNAJB12,-2.358007803,Arg,GCN2KO,NA,NA,NA,,,,,
DNAJC10,-6.970945335,Arg,GCN2KO,0.027153024,-0.917393954,-6.053551381,,,,,
DNAJC11,-0.879835433,Arg,GCN2KO,0.537282633,-0.20571855,-0.674116883,,,,,
DNAJC13,-3.328114897,Arg,GCN2KO,0.518254158,0.550314988,-3.878429885,,,,,
DNAJC16,NA,Arg,GCN2KO,NA,NA,NA,,,,,
DNAJC17,-0.746130615,Arg,GCN2KO,0.246597406,-0.594787645,-0.15134297,,,,,
DNAJC21,-3.9735438,Arg,GCN2KO,0.3880144,-0.411892003,-3.561651796,,,,,
DKC1,-0.239575173,Arg,GCN2KO,8.40E-10,1.084234218,-1.323809391,,,,,
DLD,-1.518447195,Arg,GCN2KO,0.581849357,0.296755706,-1.815202901,,,,,
DLGAP5,-5.088990786,Arg,GCN2KO,0.239057558,-0.218965408,-4.870025377,,,,,
DYNLRB1,-1.49494363,Arg,GCN2KO,1.12E-11,-1.315268754,-0.179674876,,,,,
DMAP1,-0.629560375,Arg,GCN2KO,0.142096764,-0.89549379,0.265933415,,,,,
DNAJA1,-1.797460077,Arg,GCN2KO,4.55E-04,-0.396561224,-1.400898853,,,,,
DNAJA2,-1.16167729,Arg,GCN2KO,0.011662288,0.968608613,-2.130285903,,,,,
DNAJA3,-4.13505797,Arg,GCN2KO,NA,NA,NA,,,,,
DNAJB1,-1.010256615,Arg,GCN2KO,0.438230956,-0.673470194,-0.336786421,,,,,
DNAJB6,-2.210629852,Arg,GCN2KO,0.06658772,0.778474569,-2.989104421,,,,,
DNAJC2,-1.052583843,Arg,GCN2KO,0.008606236,-0.447093906,-0.605489937,,,,,
DNAJC5,-0.608896382,Arg,GCN2KO,NA,NA,NA,,,,,
DNAJC7,-1.378606045,Arg,GCN2KO,0.041888107,0.400589693,-1.779195738,,,,,
DNAJC8,-1.04705228,Arg,GCN2KO,8.97E-07,1.043848081,-2.090900361,,,,,
DNAJC9,-0.74384952,Arg,GCN2KO,0.012180627,1.281736935,-2.025586455,,,,,
LIG1,-5.82975771,Arg,GCN2KO,NA,NA,NA,,,,,
LIG3,-1.260159018,Arg,GCN2KO,1.35E-05,-2.738588486,1.478429468,,,,,
DNM1L,-1.174112797,Arg,GCN2KO,0.001645915,-0.730547687,-0.443565111,,,,,
DNMT1,-3.49289478,Arg,GCN2KO,0.009056572,-0.443592818,-3.049301962,,,,,
DNPEP,NA,Arg,GCN2KO,0.002939264,-1.37908893,NA,,,,,
DOCK7,-1.983453822,Arg,GCN2KO,0.534138551,0.332692591,-2.316146414,,,,,
DOHH,0.585432167,Arg,GCN2KO,0.505574669,0.673306777,-0.08787461,,,,,
DDT,-0.193528087,Arg,GCN2KO,3.49E-05,-0.741650206,0.548122119,,,,,
APPL1,-0.790659219,Arg,GCN2KO,0.035319928,0.762749294,-1.553408513,,,,,
DPCD,0.262385722,Arg,GCN2KO,2.02E-09,-1.544357361,1.806743082,,,,,
DPH1,-1.17340489,Arg,GCN2KO,NA,NA,NA,,,,,
DPH5,-0.738554363,Arg,GCN2KO,0.013443309,0.517248161,-1.255802524,,,,,
DPM1,-0.652518935,Arg,GCN2KO,3.03E-05,0.768181709,-1.420700644,,,,,
POLA2,-1.07346827,Arg,GCN2KO,0.104549739,0.98928157,-2.06274984,,,,,
POLD1,-3.891768495,Arg,GCN2KO,NA,NA,NA,,,,,
POLD2,-4.584869444,Arg,GCN2KO,0.021682386,-0.563359416,-4.021510028,,,,,
POLD3,-1.846875605,Arg,GCN2KO,1.43E-06,-0.815620032,-1.031255573,,,,,
POLE,-2.940214775,Arg,GCN2KO,0.852418356,0.209654136,-3.149868911,,,,,
POLE3,-0.181963508,Arg,GCN2KO,0.665986804,0.106705267,-0.288668774,,,,,
POLA1,-3.994017745,Arg,GCN2KO,0.603142094,-0.182027275,-3.81199047,,,,,
POLB,-1.096627853,Arg,GCN2KO,0.159032508,0.343129148,-1.439757001,,,,,
DPP3,-0.598864475,Arg,GCN2KO,NA,NA,NA,,,,,
DPP9,-1.660039723,Arg,GCN2KO,NA,NA,NA,,,,,
DPYSL2,-1.64450617,Arg,GCN2KO,NA,NA,NA,,,,,
DPYSL3,NA,Arg,GCN2KO,NA,NA,NA,,,,,
DPYSL5,-0.956369595,Arg,GCN2KO,NA,NA,NA,,,,,
HLA-DQA2,NA,Arg,GCN2KO,NA,NA,NA,,,,,
DBN1,-1.0261941,Arg,GCN2KO,NA,NA,NA,,,,,
DRG1,-1.06280345,Arg,GCN2KO,2.87E-21,1.280685213,-2.343488663,,,,,
DRG2,-0.911536127,Arg,GCN2KO,0.671656679,0.257734295,-1.169270423,,,,,
DSC1,-12.90699067,Arg,GCN2KO,NA,NA,NA,,,,,
DSG2,-1.72017099,Arg,GCN2KO,0.245784791,0.673696309,-2.393867299,,,,,
DSN1,-1.623944378,Arg,GCN2KO,0.518017575,-0.494885886,-1.129058492,,,,,
ADAR,-1.10595008,Arg,GCN2KO,0.989701999,-0.007014352,-1.098935728,,,,,
DTD1,-0.606682522,Arg,GCN2KO,0.734201254,-0.271389361,-0.335293162,,,,,
DUS1L,-2.31260965,Arg,GCN2KO,0.010638349,-2.255685102,-0.056924548,,,,,
DUS2,-4.002175026,Arg,GCN2KO,NA,NA,NA,,,,,
DUSP3,0.55855495,Arg,GCN2KO,NA,NA,NA,,,,,
DUS3L,-0.592518175,Arg,GCN2KO,0.515915186,-0.261539233,-0.330978942,,,,,
DUSP9,-2.713834805,Arg,GCN2KO,NA,NA,NA,,,,,
DUT,1.539327596,Arg,GCN2KO,0.002873778,0.968789759,0.570537837,,,,,
DVL2,-1.9709433,Arg,GCN2KO,NA,NA,NA,,,,,
DDX39A,-0.467249357,Arg,GCN2KO,1.46E-26,-2.519547289,2.052297931,,,,,
DDX39B,-0.353163412,Arg,GCN2KO,6.29E-04,-1.038526886,0.685363473,,,,,
DNAH10,-3.40837945,Arg,GCN2KO,NA,NA,NA,,,,,
DYNC1H1,-1.173979962,Arg,GCN2KO,0.192429645,-0.505541348,-0.668438615,,,,,
DYNC2H1,-2.383650213,Arg,GCN2KO,4.47E-22,-3.059386181,0.675735968,,,,,
DYNLL1,-1.550681432,Arg,GCN2KO,5.87E-60,-2.973997254,1.423315821,,,,,
DYNLL2,-0.350993913,Arg,GCN2KO,6.37E-07,-2.770965077,2.419971164,,,,,
DYNLT1,-0.925344707,Arg,GCN2KO,5.11E-04,-0.54208331,-0.383261398,,,,,
DYNLT3,-2.191019287,Arg,GCN2KO,8.93E-09,-1.640749542,-0.550269745,,,,,
DNM2,-0.890845265,Arg,GCN2KO,NA,NA,NA,,,,,
DHFR,-3.993523671,Arg,GCN2KO,0.001082475,-0.552599616,-3.440924055,,,,,
DST,-1.183789888,Arg,GCN2KO,NA,NA,NA,,,,,
EIF2AK2,-0.937834395,Arg,GCN2KO,0.207254498,0.584017912,-1.521852307,,,,,
E2F4,-2.72457568,Arg,GCN2KO,NA,NA,NA,,,,,
EPB41L2,-0.557182257,Arg,GCN2KO,0.012789708,0.852324734,-1.409506992,,,,,
EPB41L3,-2.477209005,Arg,GCN2KO,NA,NA,NA,,,,,
EPB41L5,-1.812801875,Arg,GCN2KO,NA,NA,NA,,,,,
SLC1A3,-2.563867828,Arg,GCN2KO,0.225480244,-0.576141069,-1.987726759,,,,,
EAPP,-1.661851215,Arg,GCN2KO,2.24E-05,0.632049889,-2.293901104,,,,,
EBNA1BP2,-0.66098576,Arg,GCN2KO,1.89E-06,0.818360046,-1.479345806,,,,,
ECD,-5.139985364,Arg,GCN2KO,0.125736388,0.321802063,-5.461787427,,,,,
ECH1,-1.314600417,Arg,GCN2KO,0.071115943,-0.46952274,-0.845077678,,,,,
HADHA,-0.85293633,Arg,GCN2KO,0.008584835,0.541910351,-1.394846681,,,,,
HADHB,-1.036566343,Arg,GCN2KO,0.205160832,-0.224221091,-0.812345251,,,,,
ECHDC1,-0.855243362,Arg,GCN2KO,0.047256813,0.322158855,-1.177402217,,,,,
