PG.UniProtIds,gene_name,ProteinName,PG.ProteinNames,modification,cellline,condition,mean_ks,sd_ks,se_ks,mean_l2fc,sd_l2fc,se_l2fc,,,,,,
O00303,EIF3F,eukaryotic translation initiation factor 3 subunit F,EIF3F_HUMAN,WT,293T,−Arg,0.013247333,0.004506788,0.002601995,-2.844803901,0.597941688,0.345221794,,,,,,
O00303,EIF3F,eukaryotic translation initiation factor 3 subunit F,EIF3F_HUMAN,WT,293T,−Leu,0.0085745,0.004646399,0.0026826,-3.276791499,1.17635425,0.679168443,,,,,,
O00410,IPO5,importin 5,IPO5_HUMAN,GCN2 KO,293T,Rich,0.060463333,0.016719337,0.009652914,0,0,0,,,,,,
O00410,IPO5,importin 5,IPO5_HUMAN,GCN2 KO,293T,−Leu,0.015113333,0.00471323,0.002721184,-2.002043422,0.857187763,0.494897586,,,,,,
O00410,IPO5,importin 5,IPO5_HUMAN,WT,293T,Rich,0.079366667,0.019710447,0.011379832,0,0,0,,,,,,
O00410,IPO5,importin 5,IPO5_HUMAN,WT,293T,−Arg,0.0081,0.00304246,0.001756565,-3.330820756,0.431989249,0.249409109,,,,,,
O00410,IPO5,importin 5,IPO5_HUMAN,WT,293T,−Leu,0.013458667,0.00494388,0.00285435,-2.602862459,0.544987982,0.314648958,,,,,,
O00425,IGF2BP3,insulin like growth factor 2 mRNA binding protein 3,IF2B3_HUMAN,GCN2 KO,293T,Rich,0.052785,0.025547768,0.014750011,0,0,0,,,,,,
O00425,IGF2BP3,insulin like growth factor 2 mRNA binding protein 3,IF2B3_HUMAN,GCN2 KO,293T,−Leu,0.018289,0.015020362,0.00867201,-1.736021975,0.626245911,0.361563246,,,,,,
O00425,IGF2BP3,insulin like growth factor 2 mRNA binding protein 3,IF2B3_HUMAN,WT,293T,Rich,0.067425,0.012169308,0.007025953,0,0,0,,,,,,
O00425,IGF2BP3,insulin like growth factor 2 mRNA binding protein 3,IF2B3_HUMAN,WT,293T,−Arg,0.001724,NA,NA,-5.092475105,NA,NA,,,,,,
O00425,IGF2BP3,insulin like growth factor 2 mRNA binding protein 3,IF2B3_HUMAN,WT,293T,−Leu,0.0074,NA,NA,-3.360971615,NA,NA,,,,,,
O00429,DNM1L,dynamin 1 like,DNM1L_HUMAN,GCN2 KO,293T,Rich,0.05555,NA,NA,0,NA,NA,,,,,,
O00429,DNM1L,dynamin 1 like,DNM1L_HUMAN,GCN2 KO,293T,−Leu,0.005356,NA,NA,-3.374559046,NA,NA,,,,,,
O00429,DNM1L,dynamin 1 like,DNM1L_HUMAN,WT,293T,Rich,0.07138,4.38E-04,2.53E-04,0,0,0,,,,,,
O00429,DNM1L,dynamin 1 like,DNM1L_HUMAN,WT,293T,−Arg,0.00368645,0.004315543,0.00249158,-5.108973535,2.400760425,1.386079677,,,,,,
O00429,DNM1L,dynamin 1 like,DNM1L_HUMAN,WT,293T,−Leu,0.0078025,0.002277591,0.001314968,-3.224904357,0.418407761,0.241567834,,,,,,
O00487,PSMD14,"proteasome 26S subunit, non-ATPase 14",PSDE_HUMAN,GCN2 KO,293T,Rich,0.040305,0.007771104,0.004486649,0,0,0,,,,,,
O00487,PSMD14,"proteasome 26S subunit, non-ATPase 14",PSDE_HUMAN,GCN2 KO,293T,−Leu,0.0040575,0.00187454,0.001082266,-3.380168847,0.971775949,0.561055105,,,,,,
O00487,PSMD14,"proteasome 26S subunit, non-ATPase 14",PSDE_HUMAN,WT,293T,Rich,0.051913333,0.007697697,0.004444267,0,0,0,,,,,,
O00487,PSMD14,"proteasome 26S subunit, non-ATPase 14",PSDE_HUMAN,WT,293T,−Arg,0.011327,0.008356963,0.004824895,-2.493687487,1.01553037,0.586316732,,,,,,
O00487,PSMD14,"proteasome 26S subunit, non-ATPase 14",PSDE_HUMAN,WT,293T,−Leu,0.007483,0.007250673,0.004186178,-3.169773321,1.978008917,1.142003981,,,,,,
O00541,PES1,pescadillo ribosomal biogenesis factor 1,PESC_HUMAN,WT,293T,Rich,0.149,NA,NA,0,NA,NA,,,,,,
O00541,PES1,pescadillo ribosomal biogenesis factor 1,PESC_HUMAN,WT,293T,−Arg,0.01738,NA,NA,-3.099812343,NA,NA,,,,,,
O00541,PES1,pescadillo ribosomal biogenesis factor 1,PESC_HUMAN,WT,293T,−Leu,0.01411,NA,NA,-3.400522438,NA,NA,,,,,,
O00567,NOP56,NOP56 ribonucleoprotein,NOP56_HUMAN,GCN2 KO,293T,Rich,0.102185,0.047963053,0.027691482,0,0,0,,,,,,
O00567,NOP56,NOP56 ribonucleoprotein,NOP56_HUMAN,GCN2 KO,293T,−Arg,0.003509,NA,NA,-4.282119899,NA,NA,,,,,,
O00567,NOP56,NOP56 ribonucleoprotein,NOP56_HUMAN,GCN2 KO,293T,−Leu,0.028265,0.005282088,0.003049615,-1.782613887,0.432621179,0.249773954,,,,,,
O00567,NOP56,NOP56 ribonucleoprotein,NOP56_HUMAN,WT,293T,Rich,0.111343333,0.050129822,0.028942466,0,0,0,,,,,,
O00567,NOP56,NOP56 ribonucleoprotein,NOP56_HUMAN,WT,293T,−Arg,0.006799667,0.003863513,0.0022306,-4.079257724,1.101075111,0.635706012,,,,,,
O00567,NOP56,NOP56 ribonucleoprotein,NOP56_HUMAN,WT,293T,−Leu,0.017054333,0.006256149,0.003611989,-2.69188879,0.381676854,0.220361234,,,,,,
O00571,DDX3X,DEAD-box helicase 3 X-linked,DDX3X_HUMAN,GCN2 KO,293T,Rich,0.1263,0.036910974,0.021310561,0,0,0,,,,,,
O00571,DDX3X,DEAD-box helicase 3 X-linked,DDX3X_HUMAN,GCN2 KO,293T,−Arg,0.007381,1.63E-04,9.39E-05,-4.065587736,0.459576968,0.265336886,,,,,,
O00571,DDX3X,DEAD-box helicase 3 X-linked,DDX3X_HUMAN,GCN2 KO,293T,−Leu,0.0251,0.003082986,0.001779963,-2.305075456,0.605436843,0.349549124,,,,,,
O00571,DDX3X,DEAD-box helicase 3 X-linked,DDX3X_HUMAN,WT,293T,Rich,0.114126667,0.055562219,0.032078862,0,0,0,,,,,,
O00571,DDX3X,DEAD-box helicase 3 X-linked,DDX3X_HUMAN,WT,293T,−Arg,0.007087,0.002310825,0.001334155,-3.848837655,0.609467833,0.351876418,,,,,,
O00571,DDX3X,DEAD-box helicase 3 X-linked,DDX3X_HUMAN,WT,293T,−Leu,0.020453333,0.006446443,0.003721856,-2.40617134,0.995248851,0.574607192,,,,,,
O14497,ARID1A,AT-rich interaction domain 1A,ARI1A_HUMAN,GCN2 KO,293T,Rich,0.0293,NA,NA,0,NA,NA,,,,,,
O14497,ARID1A,AT-rich interaction domain 1A,ARI1A_HUMAN,GCN2 KO,293T,−Leu,0.01227,NA,NA,-1.255765416,NA,NA,,,,,,
O14497,ARID1A,AT-rich interaction domain 1A,ARI1A_HUMAN,WT,293T,Rich,0.06432,NA,NA,0,NA,NA,,,,,,
O14497,ARID1A,AT-rich interaction domain 1A,ARI1A_HUMAN,WT,293T,−Arg,0.009205,NA,NA,-2.80477778,NA,NA,,,,,,
O14617,AP3D1,adaptor related protein complex 3 subunit delta 1,AP3D1_HUMAN,GCN2 KO,293T,Rich,0.05229,NA,NA,0,NA,NA,,,,,,
O14617,AP3D1,adaptor related protein complex 3 subunit delta 1,AP3D1_HUMAN,GCN2 KO,293T,−Leu,0.02458,NA,NA,-1.089050154,NA,NA,,,,,,
O14617,AP3D1,adaptor related protein complex 3 subunit delta 1,AP3D1_HUMAN,WT,293T,Rich,0.05978,NA,NA,0,NA,NA,,,,,,
O14617,AP3D1,adaptor related protein complex 3 subunit delta 1,AP3D1_HUMAN,WT,293T,−Arg,0.01576,NA,NA,-1.923395362,NA,NA,,,,,,
O14654,IRS4,insulin receptor substrate 4,IRS4_HUMAN,WT,293T,Rich,0.130295,0.067323637,0.03886932,0,0,0,,,,,,
O14654,IRS4,insulin receptor substrate 4,IRS4_HUMAN,WT,293T,−Arg,0.003276,NA,NA,-4.657705608,NA,NA,,,,,,
O14654,IRS4,insulin receptor substrate 4,IRS4_HUMAN,WT,293T,−Leu,0.01617,0.003266833,0.001886107,-2.92190773,1.075028041,0.620667729,,,,,,
O14737,PDCD5,programmed cell death 5,PDCD5_HUMAN,GCN2 KO,293T,Rich,0.053695,0.011773328,0.006797334,0,0,0,,,,,,
O14737,PDCD5,programmed cell death 5,PDCD5_HUMAN,GCN2 KO,293T,−Leu,0.014825,0.005847773,0.003376213,-1.897625684,0.903464662,0.521615566,,,,,,
O14737,PDCD5,programmed cell death 5,PDCD5_HUMAN,WT,293T,Rich,0.106695,0.040170736,0.023192585,0,0,0,,,,,,
O14737,PDCD5,programmed cell death 5,PDCD5_HUMAN,WT,293T,−Arg,0.001633,NA,NA,-5.583231347,NA,NA,,,,,,
O14737,PDCD5,programmed cell death 5,PDCD5_HUMAN,WT,293T,−Leu,0.011075,0.001364716,7.88E-04,-3.220582712,0.378355395,0.218443589,,,,,,
O14744,PRMT5,protein arginine methyltransferase 5,ANM5_HUMAN,GCN2 KO,293T,Rich,0.05568,0.018215071,0.010516476,0,0,0,,,,,,
O14744,PRMT5,protein arginine methyltransferase 5,ANM5_HUMAN,GCN2 KO,293T,−Arg,0.0113585,0.005856965,0.003381521,-2.356619265,1.260455575,0.727724365,,,,,,
O14744,PRMT5,protein arginine methyltransferase 5,ANM5_HUMAN,GCN2 KO,293T,−Leu,0.01339,6.79E-04,3.92E-04,-2.017260559,0.407489746,0.235264315,,,,,,
O14776,TCERG1,transcription elongation regulator 1,TCRG1_HUMAN,GCN2 KO,293T,Rich,0.07517,NA,NA,0,NA,NA,,,,,,
O14776,TCERG1,transcription elongation regulator 1,TCRG1_HUMAN,GCN2 KO,293T,−Leu,0.02486,NA,NA,-1.596330707,NA,NA,,,,,,
O14776,TCERG1,transcription elongation regulator 1,TCRG1_HUMAN,WT,293T,Rich,0.09601,NA,NA,0,NA,NA,,,,,,
O14776,TCERG1,transcription elongation regulator 1,TCRG1_HUMAN,WT,293T,−Arg,0.004706,NA,NA,-4.350611453,NA,NA,,,,,,
O14776,TCERG1,transcription elongation regulator 1,TCRG1_HUMAN,WT,293T,−Leu,0.008431,NA,NA,-3.509409014,NA,NA,,,,,,
O14818,PSMA7,proteasome 20S subunit alpha 7,PSA7_HUMAN,GCN2 KO,293T,Rich,0.046776667,0.00829902,0.004791441,0,0,0,,,,,,
O14818,PSMA7,proteasome 20S subunit alpha 7,PSA7_HUMAN,GCN2 KO,293T,−Arg,0.009211,0.001356618,7.83E-04,-2.338676105,0.25467523,0.147036812,,,,,,
O14818,PSMA7,proteasome 20S subunit alpha 7,PSA7_HUMAN,GCN2 KO,293T,−Leu,0.01247,NA,NA,-2.124879961,NA,NA,,,,,,
O14818,PSMA7,proteasome 20S subunit alpha 7,PSA7_HUMAN,WT,293T,Rich,0.088666667,0.013108365,0.007568118,0,0,0,,,,,,
O14818,PSMA7,proteasome 20S subunit alpha 7,PSA7_HUMAN,WT,293T,−Arg,0.008568667,0.001235929,7.14E-04,-3.370108711,0.161069682,0.092993624,,,,,,
O14818,PSMA7,proteasome 20S subunit alpha 7,PSA7_HUMAN,WT,293T,−Leu,0.010805,0.001421285,8.21E-04,-2.930771045,0.369662566,0.213424782,,,,,,
O14929,HAT1,histone acetyltransferase 1,HAT1_HUMAN,GCN2 KO,293T,Rich,0.05254,0.008485281,0.004898979,0,0,0,,,,,,
O14929,HAT1,histone acetyltransferase 1,HAT1_HUMAN,GCN2 KO,293T,−Leu,0.0088905,0.001283399,7.41E-04,-2.561165922,0.025028224,0.014450052,,,,,,
O14929,HAT1,histone acetyltransferase 1,HAT1_HUMAN,WT,293T,Rich,0.102,NA,NA,0,NA,NA,,,,,,
O14929,HAT1,histone acetyltransferase 1,HAT1_HUMAN,WT,293T,−Leu,0.008704,NA,NA,-3.550746785,NA,NA,,,,,,
O14979,HNRNPDL,heterogeneous nuclear ribonucleoprotein D like,HNRDL_HUMAN,WT,293T,Rich,0.06901,NA,NA,0,NA,NA,,,,,,
O14979,HNRNPDL,heterogeneous nuclear ribonucleoprotein D like,HNRDL_HUMAN,WT,293T,−Arg,0.01508,NA,NA,-2.194169004,NA,NA,,,,,,
O14980,XPO1,exportin 1,XPO1_HUMAN,GCN2 KO,293T,Rich,0.043983333,0.004379433,0.002528467,0,0,0,,,,,,
O14980,XPO1,exportin 1,XPO1_HUMAN,GCN2 KO,293T,−Arg,0.002091,NA,NA,-4.270661207,NA,NA,,,,,,
O14980,XPO1,exportin 1,XPO1_HUMAN,GCN2 KO,293T,−Leu,0.012319,0.002946286,0.001701039,-1.862423853,0.289359756,0.167061933,,,,,,
O14980,XPO1,exportin 1,XPO1_HUMAN,WT,293T,Rich,0.06654,0.015729768,0.009081586,0,0,0,,,,,,
O14980,XPO1,exportin 1,XPO1_HUMAN,WT,293T,−Arg,0.0062955,0.002475581,0.001429277,-3.288699504,0.199603616,0.115241201,,,,,,
O14980,XPO1,exportin 1,XPO1_HUMAN,WT,293T,−Leu,0.011333,0.003647038,0.002105618,-2.57896827,0.725635616,0.418945918,,,,,,
O15067,PFAS,phosphoribosylformylglycinamidine synthase,PUR4_HUMAN,GCN2 KO,293T,Rich,0.05398,NA,NA,0,NA,NA,,,,,,
O15067,PFAS,phosphoribosylformylglycinamidine synthase,PUR4_HUMAN,GCN2 KO,293T,−Leu,0.0045,NA,NA,-3.58442807,NA,NA,,,,,,
O15067,PFAS,phosphoribosylformylglycinamidine synthase,PUR4_HUMAN,WT,293T,Rich,0.0777,NA,NA,0,NA,NA,,,,,,
O15067,PFAS,phosphoribosylformylglycinamidine synthase,PUR4_HUMAN,WT,293T,−Leu,0.004261,NA,NA,-4.188650642,NA,NA,,,,,,
O15143,ARPC1B,actin related protein 2/3 complex subunit 1B,ARC1B_HUMAN,WT,293T,Rich,0.056643333,0.010067583,0.005812522,0,0,0,,,,,,
O15143,ARPC1B,actin related protein 2/3 complex subunit 1B,ARC1B_HUMAN,WT,293T,−Arg,0.009324,0.005226933,0.003017771,-2.812119996,0.604614305,0.349074232,,,,,,
O15143,ARPC1B,actin related protein 2/3 complex subunit 1B,ARC1B_HUMAN,WT,293T,−Leu,0.009242,0.003473724,0.002005556,-2.670486723,0.318233246,0.18373205,,,,,,
O15144,ARPC2,actin related protein 2/3 complex subunit 2,ARPC2_HUMAN,WT,293T,Rich,0.1085,NA,NA,0,NA,NA,,,,,,
O15144,ARPC2,actin related protein 2/3 complex subunit 2,ARPC2_HUMAN,WT,293T,−Arg,0.01528,NA,NA,-2.827978594,NA,NA,,,,,,
O15173,PGRMC2,progesterone receptor membrane component 2,PGRC2_HUMAN,GCN2 KO,293T,Rich,0.06156,NA,NA,0,NA,NA,,,,,,
O15173,PGRMC2,progesterone receptor membrane component 2,PGRC2_HUMAN,GCN2 KO,293T,−Arg,0.01179,NA,NA,-2.384429513,NA,NA,,,,,,
O15294,OGT,O-linked N-acetylglucosamine (GlcNAc) transferase,OGT1_HUMAN,GCN2 KO,293T,Rich,0.0565,NA,NA,0,NA,NA,,,,,,
O15294,OGT,O-linked N-acetylglucosamine (GlcNAc) transferase,OGT1_HUMAN,GCN2 KO,293T,−Arg,0.00251,NA,NA,-4.492491598,NA,NA,,,,,,
O15294,OGT,O-linked N-acetylglucosamine (GlcNAc) transferase,OGT1_HUMAN,GCN2 KO,293T,−Leu,0.01084,NA,NA,-2.381886111,NA,NA,,,,,,
O15347,HMGB3,high mobility group box 3,HMGB3_HUMAN,GCN2 KO,293T,Rich,0.06178,0.013427237,0.007752219,0,0,0,,,,,,
O15347,HMGB3,high mobility group box 3,HMGB3_HUMAN,GCN2 KO,293T,−Arg,0.006256,NA,NA,-3.021516079,NA,NA,,,,,,
O15347,HMGB3,high mobility group box 3,HMGB3_HUMAN,GCN2 KO,293T,−Leu,0.026116667,0.009586044,0.005534505,-1.290358247,0.459116675,0.265071136,,,,,,
O15347,HMGB3,high mobility group box 3,HMGB3_HUMAN,WT,293T,Rich,0.075056667,0.005957939,0.003439818,0,0,0,,,,,,
O15347,HMGB3,high mobility group box 3,HMGB3_HUMAN,WT,293T,−Arg,0.008636333,5.59E-04,3.23E-04,-3.118421004,0.176368123,0.101826183,,,,,,
O15347,HMGB3,high mobility group box 3,HMGB3_HUMAN,WT,293T,−Leu,0.013407333,0.004853152,0.002801968,-2.558298206,0.485087628,0.280065473,,,,,,
O15355,PPM1G,"protein phosphatase, Mg2+/Mn2+ dependent 1G",PPM1G_HUMAN,GCN2 KO,293T,Rich,0.05063,0.013915003,0.008033831,0,0,0,,,,,,
O15355,PPM1G,"protein phosphatase, Mg2+/Mn2+ dependent 1G",PPM1G_HUMAN,GCN2 KO,293T,−Arg,0.010904,0.009370579,0.005410106,-2.573786771,1.954684681,1.128537727,,,,,,
O15355,PPM1G,"protein phosphatase, Mg2+/Mn2+ dependent 1G",PPM1G_HUMAN,GCN2 KO,293T,−Leu,0.01447,0.002111705,0.001219194,-1.782386839,0.181054582,0.104531912,,,,,,
O15355,PPM1G,"protein phosphatase, Mg2+/Mn2+ dependent 1G",PPM1G_HUMAN,WT,293T,Rich,0.068206667,0.023574754,0.013610891,0,0,0,,,,,,
O15355,PPM1G,"protein phosphatase, Mg2+/Mn2+ dependent 1G",PPM1G_HUMAN,WT,293T,−Arg,0.01238,NA,NA,-2.894406407,NA,NA,,,,,,
O15355,PPM1G,"protein phosphatase, Mg2+/Mn2+ dependent 1G",PPM1G_HUMAN,WT,293T,−Leu,0.009322333,0.001213395,7.01E-04,-2.819111872,0.344876373,0.199114467,,,,,,
O15371,EIF3D,eukaryotic translation initiation factor 3 subunit D,EIF3D_HUMAN,GCN2 KO,293T,Rich,0.064086667,0.017679144,0.010207059,0,0,0,,,,,,
O15371,EIF3D,eukaryotic translation initiation factor 3 subunit D,EIF3D_HUMAN,GCN2 KO,293T,−Arg,0.012095,6.43E-04,3.72E-04,-2.603297529,0.089424618,0.051629327,,,,,,
O15371,EIF3D,eukaryotic translation initiation factor 3 subunit D,EIF3D_HUMAN,GCN2 KO,293T,−Leu,0.011573667,0.00578789,0.00334164,-2.546359384,0.570785415,0.329543113,,,,,,
O15371,EIF3D,eukaryotic translation initiation factor 3 subunit D,EIF3D_HUMAN,WT,293T,Rich,0.080133333,0.03582438,0.020683216,0,0,0,,,,,,
O15371,EIF3D,eukaryotic translation initiation factor 3 subunit D,EIF3D_HUMAN,WT,293T,−Arg,0.007472333,0.004265267,0.002462553,-3.481342423,1.253694143,0.723820651,,,,,,
O15371,EIF3D,eukaryotic translation initiation factor 3 subunit D,EIF3D_HUMAN,WT,293T,−Leu,0.013736667,0.004977242,0.002873612,-2.505091696,1.06878487,0.617063233,,,,,,
